Customer_id,Product_id,Date_id,staff_id,Quantity,Store_Location,Payment_Type,Promotion_Applied,Weather,Temperature,Delivery_Time_min,Order_Type,Total_Sales
5820,26946,69499,19523,2,South,Cash,True,Rainy,20.6549139306951,30,In Store,25.0646082988596
8743,88269,10346,49973,1,South,Cash,False,Rainy,23.5494969720501,33,In Store,7.08306989594775
6845,54642,22471,29571,5,North,Cash,True,Rainy,27.15434218268169,43,Phone Order,33.6803205009029
8835,79564,50260,45303,2,North,Cash,False,Cloudy,20.1374832527572,32,Online Order,14.6296469584923
7252,53582,46323,60920,1,East,Credit Card,True,Cloudy,23.0209865419083,58,In Store,7.57772721990641
8949,70463,97860,27007,2,West,Cash,True,Rainy,27.15434218268169,30,Phone Order,29.136312779909
9041,39718,42706,42970,3,North,Credit Card,False,Cloudy,29.2010276978325,15,In Store,48.344156262356
1597,25192,95192,54283,5,West,Online,False,Sunny,27.15434218268169,16,Online Order,64.7493642194814
2748,73929,24777,84994,4,East,Cash,True,Rainy,27.15434218268169,29,Phone Order,69.7410639527294
8520,92564,43609,84827,2,West,Credit Card,False,Rainy,20.4228701067083,53,In Store,39.737896802009
2383,98676,26979,16575,3,South,Online,False,Cloudy,27.15434218268169,42,In Store,51.900568310371
4510,61218,50409,67138,4,West,Online,False,Rainy,33.2222872938336,15,In Store,61.6929424205575
6513,63742,53707,44861,4,East,Online,True,Sunny,26.2387048144626,19,Online Order,51.9495619662288
8313,16571,17713,87902,2,East,Credit Card,False,Cloudy,30.8050005374898,56,Phone Order,23.4655921502412
9390,63401,54673,97541,1,East,Cash,False,Cloudy,33.7742755306993,36,Phone Order,6.26588570816813
2496,12414,82243,45499,2,West,Cash,True,Rainy,26.1206069240422,50,Phone Order,21.9810624518407
4041,26821,31402,32359,3,South,Credit Card,False,Rainy,22.8691605655609,27,In Store,55.956058655196
6226,31178,29646,20382,4,North,Cash,False,Rainy,27.7567689628537,15,Phone Order,68.4813577943931
3448,82620,34143,67680,2,South,Credit Card,True,Cloudy,33.6212553058978,30,In Store,16.4815409503506
4325,48462,91439,27574,1,West,Cash,True,Rainy,32.0656162120655,55,Online Order,11.9991167704582
3882,94351,63251,52323,2,West,Online,False,Sunny,20.9874476504473,36,Phone Order,34.5016960767563
8477,24205,88827,30672,5,North,Cash,False,Rainy,30.3885920011637,46,In Store,30.0538416089141
9264,90479,16498,12955,1,West,Credit Card,True,Rainy,28.5784628368843,30,Phone Order,10.8108887850298
2202,81503,50995,29795,3,East,Credit Card,True,Cloudy,33.6119476451963,29,Phone Order,53.3328556593276
9868,85892,49606,63729,4,East,Online,False,Rainy,21.8372212527544,56,Online Order,44.2338718502074
2847,38571,92715,43303,2,East,Credit Card,False,Cloudy,28.0105416980698,26,Phone Order,12.3284393419432
5602,99539,40739,76784,1,East,Cash,False,Rainy,33.1919404026783,15,Online Order,13.1380155279837
9230,86232,59999,36570,5,East,Cash,True,Sunny,26.1503568011261,31,Phone Order,89.6306871188721
8733,40592,42407,95288,1,West,Online,False,Sunny,27.229923765993,55,Phone Order,13.8542831442973
9645,95794,65626,40346,5,North,Credit Card,True,Cloudy,21.0569101650043,42,Phone Order,41.9709331160673
9248,69482,48824,91455,3,North,Online,True,Cloudy,24.1721546067336,21,Phone Order,32.2907829061821
9321,97307,60434,28756,4,East,Cash,True,Rainy,27.15434218268169,23,Phone Order,47.0074016709159
9368,50825,13263,51279,3,West,Online,False,Rainy,34.1768367311733,36,Phone Order,41.0669859219237
9384,97854,49581,87645,2,South,Credit Card,False,Sunny,24.2400104081173,40,Online Order,32.7805307725783
3752,18987,92330,50920,1,South,Online,False,Rainy,26.9130310290447,26,Online Order,6.48310426460953
3076,92242,38356,41228,5,West,Credit Card,True,Sunny,30.0695663534641,21,In Store,91.7239024763174
3919,90022,81925,86129,5,East,Credit Card,False,Cloudy,27.15434218268169,29,Phone Order,25.9232277262056
6143,46725,17638,75489,1,North,Cash,True,Rainy,27.2966358071281,52,Online Order,10.5507850201138
5856,96378,22874,72818,1,West,Cash,True,Cloudy,31.0780855921386,35,Phone Order,5.41130464958986
6457,18086,15454,99154,2,South,Cash,True,Rainy,33.0028281954059,28,Phone Order,21.7892267603587
8895,22742,70235,92291,3,South,Credit Card,True,Sunny,29.3938891199364,16,Online Order,38.6615669492995
4564,66941,43674,45329,5,South,Online,True,Cloudy,30.0358027297542,22,Phone Order,63.3761039936133
4739,70929,34590,78345,2,East,Credit Card,True,Cloudy,27.15434218268169,59,Online Order,14.9688504108479
7615,80573,89018,21364,3,South,Cash,False,Rainy,34.1866474586952,20,Online Order,44.0583229543025
3980,16331,69605,98206,2,West,Cash,True,Cloudy,21.9886111622672,51,In Store,11.34335351514
1459,42194,27856,89338,5,West,Online,False,Sunny,27.15434218268169,51,In Store,82.1430115099311
4078,16034,39002,55120,1,South,Cash,True,Cloudy,23.9722448266747,47,In Store,19.1996665099031
2809,23268,69695,30815,1,West,Cash,False,Cloudy,34.0038971555187,55,In Store,10.0965324072667
5164,80642,32768,66022,3,South,Cash,False,Rainy,30.7993930905421,20,Phone Order,38.2757721771449
4562,45893,11703,98604,4,South,Online,False,Cloudy,31.3072056946755,40,Phone Order,42.7346166835288
3381,52078,85198,73643,3,North,Credit Card,False,Rainy,23.2858875958982,53,In Store,15.3019675636826
1124,43291,42521,43749,4,East,Cash,True,Rainy,26.6455996495274,55,Online Order,43.1524701737069
5755,40557,65035,27831,2,East,Online,True,Cloudy,29.2671979188392,51,Online Order,33.7516077778403
1743,37754,36110,32480,2,North,Cash,True,Sunny,27.15434218268169,28,Online Order,27.8796652655044
2288,51980,75790,64917,5,North,Online,True,Rainy,21.5593906386858,51,Online Order,32.5944935961369
8126,89677,50218,77623,4,East,Cash,False,Cloudy,34.4354797468179,22,Phone Order,70.8283693816271
2482,51570,74063,20097,5,South,Online,False,Rainy,33.3533100583183,53,Online Order,64.8314008663932
9366,25586,21729,24458,1,South,Cash,False,Sunny,27.15434218268169,27,Online Order,17.6258504261701
4608,25706,65908,29282,4,East,Credit Card,True,Sunny,32.3414036454849,27,In Store,54.8132911271017
8276,63761,74244,13213,3,South,Cash,False,Rainy,27.15434218268169,54,Online Order,40.1859800177072
7630,17017,83156,14508,1,North,Online,True,Sunny,26.9270972234302,57,Phone Order,6.57888777795518
5584,34199,43324,83758,1,South,Cash,False,Cloudy,24.716511587171,42,Online Order,7.51039599707941
5286,17180,79026,58218,3,South,Credit Card,False,Cloudy,28.7145287994738,32,Online Order,58.7411365423465
7347,57277,34769,93951,1,West,Cash,False,Rainy,27.15434218268169,33,Phone Order,8.42730120132156
8859,94052,75483,61357,4,West,Online,False,Sunny,26.1639935744413,52,In Store,78.647127079422
2382,70139,99108,45504,5,West,Online,False,Cloudy,29.4382878951243,46,Phone Order,64.8934529893197
8789,23743,71168,97307,1,South,Credit Card,True,Cloudy,30.4896938173295,36,In Store,7.03683570595905
9622,99082,75905,79370,4,East,Online,False,Cloudy,30.6668272552292,16,Online Order,25.9581321652215
4420,82835,65748,24238,2,North,Cash,True,Rainy,20.7794914719677,27,In Store,16.2659221211722
9731,39584,95365,21497,4,South,Cash,True,Rainy,27.15434218268169,37,In Store,75.5382398015201
8579,95510,25131,11571,5,East,Cash,True,Cloudy,26.8737997214757,39,In Store,56.061266824617
6961,27776,48122,94243,4,South,Online,True,Cloudy,23.9362412254432,42,Online Order,43.7260560795748
7246,77951,29981,82969,3,North,Cash,True,Sunny,23.6264676121952,25,In Store,29.0942817481578
2016,63243,21402,47168,5,South,Cash,True,Sunny,27.2452116926592,47,In Store,36.0296387924941
6907,44904,77410,37499,2,North,Cash,True,Sunny,33.3024730920343,38,Online Order,24.6355359157721
1878,38994,87804,59530,3,South,Credit Card,True,Rainy,25.6752137252397,16,Phone Order,20.8521502130012
6551,80937,17504,73785,4,North,Online,False,Cloudy,31.2458862017531,44,Phone Order,70.1288141829396
7463,68048,75622,21764,5,South,Online,False,Rainy,21.4522809648082,31,Phone Order,52.7797739706479
5541,40115,41273,81413,2,North,Online,True,Cloudy,27.1408505322659,54,Online Order,21.2441070334538
9274,18357,48894,70547,3,West,Credit Card,True,Sunny,34.875292105891,48,Online Order,36.330289281742
4235,35993,38236,28508,2,South,Online,True,Sunny,31.556567041885,52,Phone Order,23.3238313949725
2777,88264,17109,12395,4,South,Credit Card,False,Sunny,23.1579273266091,36,In Store,79.6914783835592
3804,76226,49042,90720,2,East,Credit Card,False,Sunny,27.5216221054686,19,Phone Order,26.361433636549
4342,24299,18158,89281,1,East,Online,True,Cloudy,23.5043714547285,54,Online Order,6.32302555684806
5229,62682,44635,93850,3,North,Cash,True,Sunny,26.1434139089376,30,In Store,42.3094803709618
3960,79683,90950,68026,2,South,Cash,False,Cloudy,31.7012603560244,27,In Store,14.5475287860963
8324,86822,87458,58376,4,North,Online,False,Cloudy,31.568372229356,40,Online Order,21.8562586838805
5380,93139,89596,23183,4,West,Online,True,Rainy,23.4215056685357,45,In Store,78.2445292206348
1652,68629,27418,72511,2,East,Credit Card,True,Sunny,27.15434218268169,53,Phone Order,33.2061667460369
1876,47261,62235,68683,4,North,Online,True,Sunny,28.8885227414724,37,Online Order,78.806539544826
9988,49771,61919,54940,5,North,Credit Card,True,Rainy,25.6988643644302,26,Online Order,60.8408836016681
3320,56199,20470,16123,5,East,Online,False,Cloudy,27.5290337117129,28,Online Order,64.9193148361732
6515,37216,36872,94188,5,South,Cash,False,Sunny,29.0760688015661,32,Online Order,37.6252716939347
2192,14968,64190,40065,1,North,Cash,True,Cloudy,28.3983579776867,41,In Store,8.70361140001378
4714,37797,36671,97621,2,East,Online,True,Rainy,27.2960755330426,42,Online Order,35.1564764470848
8542,36701,74088,43968,1,South,Credit Card,True,Cloudy,27.573992061341,32,Online Order,10.3427847067639
7483,11867,94654,41286,4,West,Cash,False,Sunny,22.6461786564182,30,In Store,69.6088984277851
4731,15333,92751,19464,1,East,Credit Card,True,Cloudy,27.15434218268169,30,Online Order,15.6352058643054
9292,13944,47695,52701,4,North,Online,True,Cloudy,28.1264047991152,27,In Store,30.6302555163119
4872,30257,82037,35407,4,West,Online,True,Sunny,21.9661979255705,43,In Store,50.4467819671845
8212,80712,21992,27749,3,South,Cash,False,Sunny,27.15434218268169,23,Online Order,45.4824294683422
7282,42757,52494,21781,5,South,Online,True,Cloudy,33.9866596756602,40,Phone Order,42.6277911102868
5249,50782,55686,35637,4,East,Cash,False,Cloudy,34.2096034885544,42,Online Order,69.8413106312046
5468,48730,94385,15225,3,East,Credit Card,True,Rainy,27.15434218268169,55,Phone Order,39.5172445895334
4448,48616,66686,42888,5,East,Cash,True,Sunny,22.0327531034113,27,In Store,37.3931537831952
5093,35085,28947,89050,4,South,Cash,True,Cloudy,27.7759943994959,50,Phone Order,54.9790655698761
7947,35780,81739,27279,4,West,Credit Card,False,Sunny,21.6891384402383,23,Online Order,79.9828282493548
6475,14162,88514,15696,1,South,Cash,True,Rainy,34.0098112776892,28,Online Order,7.2578223749512
2735,20843,72138,51051,1,North,Cash,True,Cloudy,22.7536944103271,26,Phone Order,17.2513539517929
9676,22023,37501,54457,5,South,Online,False,Cloudy,23.7914878992674,46,Online Order,40.5481752390668
5381,26294,87206,79702,4,North,Credit Card,False,Cloudy,26.0995479032745,52,Phone Order,66.9432997676052
5521,26694,63792,22894,2,West,Cash,False,Sunny,25.7474670283868,17,In Store,32.0373376936424
6560,77945,94411,93678,1,East,Credit Card,True,Rainy,27.15434218268169,30,Phone Order,9.50734078400648
9059,88532,50837,19833,5,East,Credit Card,False,Sunny,26.8447523082644,34,Phone Order,49.4367338173337
2805,83296,62169,85130,4,South,Cash,True,Cloudy,22.56152390005,46,Phone Order,67.5512835177751
4439,23013,65990,31280,4,East,Online,False,Rainy,24.0081484322911,37,Phone Order,47.6867307132387
6263,10417,21890,71315,2,West,Credit Card,False,Cloudy,27.6367007778128,31,In Store,31.9245408613542
7003,17465,12783,86841,5,East,Cash,False,Cloudy,22.211808761392,30,In Store,36.0988110524376
5388,34890,93352,57192,4,South,Credit Card,True,Sunny,29.1748351346902,52,In Store,71.1534669140932
5275,22075,77476,61628,1,West,Online,True,Cloudy,28.4862095982671,22,Phone Order,15.6632707502347
4429,94004,95669,35429,2,North,Online,True,Rainy,30.7205347457338,33,In Store,37.208284265045
5242,85002,20871,54419,5,South,Online,True,Cloudy,34.0655692306905,44,Online Order,34.9279284276229
4139,41062,13468,45496,2,North,Cash,True,Cloudy,33.6838184165173,48,In Store,27.7904350108179
7821,20793,63543,24528,1,West,Cash,True,Sunny,27.15434218268169,28,Phone Order,13.9868087756048
3974,66663,89785,94380,5,South,Online,True,Rainy,23.6707339553555,36,Online Order,51.5095555410086
6008,84500,93248,29722,2,South,Cash,True,Sunny,21.9734795995903,58,Phone Order,23.7539927370777
5952,25036,97899,51459,3,West,Online,True,Cloudy,24.5341505074467,31,Online Order,16.7091703480434
4900,75236,21546,89554,1,East,Cash,False,Sunny,33.4262775914947,29,Phone Order,16.1879005794051
9680,25108,96317,98840,1,South,Online,False,Sunny,34.5808021193523,46,Phone Order,13.2398371910476
7219,65271,12644,66615,1,South,Credit Card,True,Sunny,32.8898742660571,27,Online Order,5.8661157780376
8833,20358,40796,19256,3,North,Online,True,Sunny,21.6502658169131,35,In Store,45.6340151832218
2745,57695,43942,62935,3,East,Online,True,Cloudy,34.2114199708969,54,Online Order,36.0051934754034
7291,69278,40468,19507,4,North,Cash,True,Cloudy,26.3503704102617,47,Online Order,22.0676755655
9689,89616,18025,69527,2,North,Cash,False,Rainy,20.1396543614353,41,Online Order,39.0882318054428
9166,55286,36066,16428,4,East,Cash,False,Sunny,26.6359061112229,49,Online Order,76.9467285853664
7723,94382,86787,36163,2,East,Cash,True,Sunny,20.691037545132,30,Online Order,25.3870724844159
4512,93594,73856,16051,3,West,Cash,False,Rainy,27.15434218268169,42,Phone Order,19.2152589317659
4584,82000,27653,33030,3,East,Cash,False,Sunny,25.0783104115557,48,Phone Order,48.9579549719366
2370,96635,15499,81425,4,South,Credit Card,True,Rainy,27.1015240039107,15,In Store,49.5158660063437
1123,94375,16474,75889,5,East,Online,True,Cloudy,27.15434218268169,55,In Store,47.6835608717035
2580,91800,83451,80377,4,West,Online,True,Rainy,27.15434218268169,45,Online Order,49.4850906517134
8305,60388,84593,83562,2,West,Online,True,Sunny,29.9285236470789,50,In Store,25.6733243621639
5781,57283,37190,73053,4,West,Credit Card,False,Rainy,26.5107330271727,58,In Store,53.7627019413403
2240,37805,71026,57205,1,East,Online,True,Cloudy,32.2914178050554,47,Online Order,11.6183557048298
1557,54980,92263,95160,2,East,Credit Card,False,Sunny,33.5837320635969,47,Phone Order,28.1726590941717
3386,88597,33106,70385,2,North,Credit Card,True,Cloudy,21.7963994964829,53,Phone Order,37.5620413181913
8702,46370,22033,12507,5,North,Credit Card,False,Cloudy,27.9789946632918,32,In Store,52.1701065323943
9570,99601,44053,48712,3,South,Online,True,Rainy,24.2676793961366,37,Phone Order,47.6572408448977
7576,75808,89793,15609,2,North,Credit Card,True,Cloudy,20.7059179681542,37,Phone Order,36.8335767047269
2624,90230,13784,18705,3,South,Online,False,Sunny,30.0282004267097,29,In Store,35.5190674091971
3039,59823,13664,85641,4,West,Online,False,Cloudy,27.15434218268169,40,Online Order,46.6073501829142
2115,34138,94539,50979,1,North,Cash,False,Cloudy,22.4435398171609,44,In Store,14.0317547803216
3693,80064,50016,27554,5,East,Cash,True,Rainy,32.1862048643585,39,In Store,69.3555069566866
4337,52064,43474,27657,3,North,Credit Card,False,Cloudy,32.8009360030541,59,In Store,51.2965204046824
7961,73921,39763,86914,2,South,Credit Card,False,Rainy,33.7151066399972,30,Online Order,24.2945015133487
2155,15192,90926,72302,3,North,Online,False,Rainy,23.9792763362907,53,Online Order,59.8255327337748
7174,92639,14052,79892,2,West,Credit Card,False,Sunny,27.15434218268169,59,Online Order,11.7841470660184
3200,64857,71268,25853,3,East,Credit Card,False,Sunny,24.8099413210464,28,Online Order,15.1425531861315
2830,25746,72748,22699,2,South,Online,False,Sunny,28.2850702018325,31,In Store,29.2059493467887
9968,27682,24564,90085,4,East,Credit Card,False,Sunny,20.7576120624842,26,Phone Order,37.9060947417126
4338,50509,24229,78524,2,East,Credit Card,False,Rainy,20.6582163255311,43,In Store,17.2114716609845
4184,12810,75974,63736,2,South,Online,False,Cloudy,30.805598190983,46,Online Order,19.3569724001284
6232,75049,76263,30560,1,East,Online,True,Sunny,26.6671996696668,38,Phone Order,8.84071347657431
2838,79836,48184,54878,2,East,Cash,True,Sunny,23.8443856305382,27,In Store,10.9237014898134
6410,65765,45815,29029,1,North,Online,False,Sunny,22.8562024403736,34,Phone Order,19.5729956358588
8950,98645,71285,64805,5,East,Cash,True,Cloudy,30.0493023628882,29,Online Order,41.5559116339586
2470,60190,77081,74781,1,East,Credit Card,True,Sunny,20.0060231603801,18,Phone Order,16.0104464388395
3727,95629,93817,25732,4,East,Online,False,Cloudy,32.0883675379528,48,Phone Order,65.7557836816505
3506,76367,14919,40763,1,East,Online,False,Rainy,21.1887440919489,42,Online Order,18.9388609701084
7814,91992,95376,49752,5,South,Online,False,Rainy,22.8723442236217,16,Phone Order,27.2912092820035
5143,67067,59042,94453,4,West,Credit Card,False,Rainy,25.7935459294863,44,In Store,72.3229003068204
8900,65312,31189,34452,3,North,Cash,False,Cloudy,27.2728810957415,40,Phone Order,38.725178137791
3276,40539,70153,32913,3,East,Credit Card,False,Sunny,25.3249267372091,40,In Store,43.4644849484622
3873,74160,86231,85926,1,East,Credit Card,True,Sunny,24.8106824747644,34,Phone Order,14.6670541568155
7016,68540,46889,61583,1,South,Online,False,Sunny,34.4587401810978,56,Phone Order,17.2969670747709
3781,33540,98816,71718,5,West,Cash,True,Sunny,29.6236952186509,42,Online Order,50.0055491619332
6139,12390,45865,30983,5,East,Credit Card,False,Sunny,20.3514943305108,34,Online Order,79.9788392394995
4523,79186,52064,19499,2,South,Online,False,Cloudy,26.4526386266646,25,In Store,25.8573432916659
7511,24339,63916,92200,5,North,Credit Card,True,Rainy,33.1251304961595,24,Online Order,84.504551072901
6435,97140,77740,87800,2,North,Credit Card,False,Sunny,24.52184279616,37,Online Order,39.716380983104
9452,99271,10427,33429,4,East,Online,False,Rainy,21.4183451716158,51,Online Order,32.0390610442256
1352,50802,30887,87369,1,East,Online,True,Cloudy,31.3757715738487,55,Online Order,19.9197296233999
1098,52250,51333,12248,4,West,Cash,False,Cloudy,27.15434218268169,33,Online Order,25.3887292569664
6602,75390,79509,31093,5,West,Credit Card,True,Sunny,28.5546876173975,59,In Store,25.173816092861
5247,44647,81293,81525,4,East,Online,False,Cloudy,20.8036483941111,32,In Store,22.6497161706698
8554,16433,20009,81127,4,South,Online,False,Rainy,22.1074851469327,41,Online Order,40.5069442842057
2151,71067,38810,21266,4,West,Cash,True,Sunny,29.3382409431967,20,Online Order,57.974379840706
9306,32490,60437,64179,5,East,Cash,False,Sunny,23.1173576218825,24,In Store,30.1772155665887
3269,24066,82223,58660,4,West,Online,True,Rainy,27.5610511962263,16,Phone Order,20.339948871774
8542,68697,51883,16146,2,East,Cash,True,Sunny,28.1732252904409,38,In Store,38.1127308537638
9794,21698,61712,63824,5,North,Online,True,Sunny,27.15434218268169,52,Phone Order,86.6444976954947
7528,23799,48953,74009,4,East,Credit Card,False,Rainy,34.2263773331223,42,Online Order,68.5509902683418
9696,27226,96313,48246,5,North,Cash,False,Sunny,32.6369616025336,42,Online Order,91.3318206626482
5165,39271,19199,34819,3,West,Credit Card,True,Sunny,30.8356026144919,59,In Store,46.5015422747447
4937,11161,78752,54889,2,East,Credit Card,False,Rainy,21.1699079961411,53,Online Order,13.1321238924424
6281,17367,40361,33652,4,West,Credit Card,False,Cloudy,27.15434218268169,16,Phone Order,43.9460112844233
1837,93573,82901,58495,3,North,Online,False,Rainy,27.3917201879743,19,Phone Order,47.5417268909083
5611,82222,40941,49472,3,East,Credit Card,True,Sunny,22.4107002378647,25,In Store,27.6150507356184
8706,95185,95015,43687,5,West,Credit Card,False,Rainy,34.6739819529421,24,Phone Order,76.5554773102178
3891,23796,69981,20076,3,North,Credit Card,True,Sunny,22.3778035104111,57,In Store,16.1024301720443
7601,74167,30287,68582,2,West,Online,False,Sunny,27.3120175319596,16,In Store,19.1841202263877
5424,85034,15595,81838,2,South,Credit Card,False,Rainy,25.4618158526225,29,Phone Order,26.4739100883151
7654,23918,22043,47289,1,North,Credit Card,True,Sunny,29.5907963218114,53,Phone Order,14.4813474425936
7644,82831,15126,15064,2,North,Cash,False,Cloudy,21.9355461333413,55,Phone Order,27.3112199338573
9811,62603,39553,35687,3,North,Online,True,Sunny,26.4547464206358,51,Phone Order,46.3990324233043
4040,63623,35883,54009,2,East,Credit Card,False,Rainy,24.1205754921071,21,Phone Order,10.1826624471951
